,judge,question,reference,answer,score
49,google-gemma,"Albert Attorney was a solo practitioner in Littletown who operated a general law practice. In 1990, Albert drafted a document for a client's estate plan that unfortunately violated the rule against perpetuities. Upon the testator's death in 2004, the mistake was discovered. Because of the error, the estate plan was not admitted to probate so the assets were distributed under the state intestacy statute. Gordon Greedy was named as a substantial taker under the estate plan, but did not take under the intestate statute since he was not a relative. The state statute of limitations for professional malpractice is three years. If Gordon sues Albert for professional malpractice in 2005, the best defense Albert can assert is","s lawsuit is not timely.""",,0.9
50,google-gemma,"Research has shown that people who read a job description written only with male pronouns (e.g., he, his) are more likely to think of an employee as male than people who read a description that uses gender-neutral language (e.g., he or she). This finding is most closely linked to",the linguistic relativity hypothesis.,,0.0
51,google-gemma,A homozygous tall pea plant was crossed with a homozygous dwarf pea plant. The gene for tall is dominant to its allele for dwarf. What will be the expected phenotypic and genotypic results in the F_1 and F_2 generations?,"F_1 Generation: Genotypic results - All Dd, Phenotypic results - All tall. F_2 Generation: Genotypic results - (1/4) DD, (1/2) Dd, (1/4) dd, Phenotypic results - (3/4) tall, (1/4) dwarf.",,0.0
52,google-gemma,What factors determine the characteristics ofparticular organismsthat exist in an ecosystem.,"Temperature, precipitation, soil structure and chemistry, sunlight, humidity, and concentration of trace elements",,0.9
53,google-gemma,What is the economic definition of \textquotedblleftland\textquotedblright?,Land encompasses exclusively urban areas designated for construction and development,,0.2
54,google-gemma,"A defendant was booked on a commercial airline flight. When the defendant arrived at the airport, two undercover police narcotics agents observed him. His appearance and actions led the police to believe that he fit the description of a predetermined profile of a drug courier. The officers approached the defendant and told him they wanted to detain him for questioning. The defendant asked what for, and the police explained that they were narcotics agents assigned to the airport and that he fit the profile of a drug courier. They then asked the defendant to hand over his overnight bag. The defendant refused. The officers then explained that he wouldn't be permitted to board the plane unless they inspected the contents of his bag. The defendant told the officers that he changed his mind and decided not to fly today after all. The officers still requested that the defendant turn his overnight bag over to them. The defendant did so, and then he was given permission to leave the airport. The next day, the police had a dog sniff the defendant's bag for narcotics. The results of this search gave police suspicion to believe that the bag contained narcotics. They opened the defendant's bag and found heroin inside. The defendant was subsequently arrested and charged with unlawful possession of narcotics. At trial, the defendant's attorney moves to prevent introduction of the heroin into evidence. This motion will most likely be","granted, because the police did not have probable cause to hold the bag overnight for the search.",,0.8
55,google-gemma,"Suppose the market price for corn drops from $1,00per bushel to $.75 per bushel. In reaction to this, the farmers decide to sell one third less corn to the market. Has the supply of corn to the market decrease?","No, the supply of corn to the market has not decreased.",,0.0
56,google-gemma,Suppose taxes are cut in an economy that is in equilibrium at full employment. In the long run the tax cut will,raise the price level.,,0.9
57,google-gemma,What is steady state heat transfer?,"Steady state heat transfer is when the rate of energy in equals the rate of energy out, with no accumulation of energy.",,0.9
58,google-gemma,Discuss feeding mechanisms in differentmolluscs. Describe the differences in structural organization that have enabled the various classes to adapt to different lifestyles.,"Chitons use a radula for feeding, gastropods have a well-developed radula and feed on plant or animal tissue, bivalves are filter feeders and lack a radula, and cephalopods are active predators with a radula and beaks.",,0.9
59,google-gemma,What is the cost of capital accumulation to society?,Consumption society sacrifices today for the prospect of higher potential consumption tomorrow,,0.9
60,google-gemma,"One evening, a husband received a telephone call from an unidentified source who informed him that his wife was having an affair with his friend. As a result, the husband drove to his friend's house with a loaded shotgun. Believing that his friend was in an upstairs bedroom, the husband fired the shotgun through the dining room window, as he only wanted to teach him a lesson. Unbeknownst to the husband, his friend's wife was in the dining room and suffered a minor gunshot wound. The husband should be found",not guilty of attempted murder of either his friend or his friend's wife.,,0.9
61,google-gemma,Why is the principle of diminishing returns so important to growth theory?,Diminishing marginal returns indicate that capital accumulation and population growth alone cannot indefinitely increase output.,,0.9
62,google-gemma,"Assume this question takes place in a ""lien theory"" state. A woman and her co-habiting partner share a property as joint tenants with the right of survivorship. He has run up debts that he did not tell her about, and so he uses his interest in the property to secretly get a mortgage from the bank. When he dies, the bank attempts to execute on the mortgage. Can it do so? Apply the majority view on this issue.","Yes, the mortgage was the equivalent of a deed of trust and the joint tenancy was severed by the mortgage lien, giving the bank unfettered legal authority to execute on its mortgage.",,0.0
63,google-gemma,What are the three types of budget used by theU.S. govern-ment? Indicate the reason for their existence. Which isthe most indicative of macroeconomic policy problems?,"Unified Budget, National Income Accounts Budget and Full Employment Budget",,0.8
64,google-gemma,"A defendant was driving his car recklessly at a high rate of speed through a residential neighborhood. He was traveling at a speed of over 100 M. P. H. when he lost control of the car and jumped a curb, striking a woman who was walking along the sidewalk. As a result of the collision, the woman suffered severe internal injuries and fractured both legs. She was hospitalized for 11 months and became permanently disabled. If the defendant is charged with attempted murder, he should be found","guilty, because he should have stopped when he lost control of the car.",,0.9
65,google-gemma,Machu Picchu was built in the mountains as a:,relaxing getaway for elites.,,0.0
66,google-gemma,Another name for the fallacy of accident is,Dicto simpliciter,,0.9
67,google-gemma,How did the government stand behind the banks through the formation of the Federal Deposit Insurance Corporation?,By protecting all bank deposits with government insurance,,0.9
68,google-gemma,Distinguish betweenpenetranceexpressivity.,Expressivity is affected by environmental conditions while penetrance is not,,0.1
69,google-gemma,"Endurance type exercise training modulates fuel storage and substrate use. Adaptive responses include:
",Increasing intramuscular lipid use during exercise,,0.0
70,google-gemma,"A defendant met her friend at the electronics store where the friend worked. Unbeknownst to the defendant, her friend had taken a music player from the display case and stuffed it in her bag earlier in the day. Knowing that employees are subject to search when they leave the store, the friend surreptitiously put the music player into the defendant's bag. The defendant and her friend proceeded to a local tavern and drank shots of tequila. The friend became intoxicated and forgot to retrieve the stolen music player from the defendant's bag. After leaving the tavern, the defendant proceeded home. Upon opening her bag, she was surprised to see the music player. Believing that the music player had accidentally fallen into her bag at the bar, the defendant planned to return it the next day. The following day, however, the defendant changed her mind and decided to keep it. The defendant is guilty of",neither receiving stolen property nor larceny.,,0.9
71,google-gemma,Tayshawn sorts 56 marbles into equal groups with no marbles left over. Which statement could be true of the groups of marbles Tayshawn sorts?,There are 8 groups of marbles with 7 marbles in each group.,,0.0
72,google-gemma,When a ball at rest hangs by a single vertical string tension in the string is mg. If the ball is made to move in amhorizontal circle so that the string describes a cone string tension,is greater than mg always,,0.9
73,google-gemma,The regional lymphatic drainage of the left side of the tip of the tongue is to the,left and right submental lymph nodes.,,0.0
74,google-gemma,Identify the only construct that is not pertinent to developmental models on intelligence:,Investment theory,,0.2
75,google-gemma,What US president is mentioned by name in the opening theme song of TV's 'All in the Family'?,Herbert Hoover,,0.0
76,google-gemma,Lowering reserve requirements would,allow banks to make more loans and buy more investments thus decreasing the money supply.,,0.9
77,google-gemma," The second premise in Singer's main argument is: ""If it is in your power to prevent something bad from happening, without sacrificing anything nearly as important, it is wrong not to do so."" Which phrase in this premise is deliberately left vague?","""nearly as important""",,0.9
78,google-gemma,How are resource and product prices determined in the circularflow model?,By the interaction of supply and demand in the market,,0.7
79,google-gemma,Noradrenaline is the neurotransmitter between which of the two structures below?,sympathetic post-ganglionic neurons and target organs,,0.9
80,google-gemma,Discuss three indicators of emotion.,"Personal reports, observed behaviors and physiological indicators",,0.8
81,google-gemma,At what age can someone first attend an R-rated movie without an accompanying adult?,17,,0.9
82,google-gemma,"A man filed a federal diversity action against a bus company, seeking damages for injuries he had sustained in an accident while riding a bus owned by the company. The man demanded a jury trial. After the parties' attorneys examined the prospective jurors and exercised their challenges, six jurors and two alternate jurors were chosen. During the trial, two jurors became ill and were replaced by the alternate jurors. At the conclusion of replaced by the alternate jurors. At the conclusion of the trial, a third juror also became ill, and the court excused that juror. The parties' attorneys stipulated to the return of a verdict from a five-person jury. The jury then deliberated and returned a verdict for the company. The man timely filed a motion for a new trial, arguing that the five-person jury was not large enough to return a verdict. Should the court grant the motion? ","No, because the parties stipulated to a verdict from a jury of fewer than six jurors.",,0.1
83,google-gemma,The false analogy fallacy is,drawing a conclusion based on a comparison when the items being compared are not similar enough to support the conclusion.,,0.9
84,google-gemma,The largest Hindu temple complex ever constructed is found in,Cambodia.,,0.9
85,google-gemma,"Quinn awoke from a dream, shaking and covered with sweat. When his wife asked him what had happened, he said he had dreamed he was falling to his death. Quinn's experience is often categorized as a",nightmare,,0.9
86,google-gemma,"On November 1, Beeson contracted to purchase from Sloan for $250,000 certain property located in the City of La Mirada. In the contract of sale, Beeson and Sloan agreed that the property was to be used for the purpose of building a commercial shopping mall. The contract required Beeson to pay Sloan a deposit of $12,500, with the balance of the purchase price payable at closing a month later on December 1. On November 24, the city council rezoned the property so that it could be used only for single-family residential purposes. As a consequence, Beeson refused to honor the contract. Sloan now brings an action for specific performance arguing that the doctrine of equitable conversion places the loss on the buyer. Beeson argues that to enforce the contract would be harsh and oppressive to him. If judgment is for Beeson, it will most likely be because",equity will relieve Beeson of a bad bargain.,,0.9
87,google-gemma,You would use the Solomon four-group design in order to:,evaluate the impact of pretesting.,,0.9
88,google-gemma,"In a family where all male members have been doctors for generations, Peter decides to become an artist. Although his parentsclaim to love him they are very upset over his choice. How would Rogers explain this attitude shownby Peter's parents?","Peter's parents' attitude can be explained by the threat to their self-structure, which contains the notion that to be of value, a male family member must be a doctor. This idea is incongruent with their love for their son, causing distress.",,0.0
89,google-gemma,Of the two versions of the principle that Singer considers:,he considers the stronger version to be correct.,,0.9
90,google-gemma,what isdeindividuation? How has it been tested?,"'Deindividuation is a state in which a person feels a lessened sense of personal identity and a decreased concern about what people think of him or her.'
 'Deindividuation is a state where a person becomes more conscious about societal norms'
 'Deindividuation is a social phenomenon where individuals are more likely to conform to group behavior without anonymity.'
 'Deindividuation is a state of increased self-awareness'
 'Deindividuation is the process by which individuals lose their ability to think critically due to group influence.'
 'Deindividuation is a state where a person becomes more concerned about their public image'
 'Deindividuation is a psychological condition where a person feels an increased sense of responsibility for their actions.'
 'Deindividuation is a term used to describe the heightened level of aggression and impulsivity in a person when they are in a group setting.']",,0.0
91,google-gemma,Men are better drivers than women are. The proof of this is that men are more capable than women of managing cars on the road.,Begging the question,,0.9
92,google-gemma,A 16-year-old male is brought to the emergency department with sudden-onset swelling of the right knee. He denies any trauma. Past medical history reveals cystic fibrosis. Examination of the knee reveals fluctuance on palpation of the joint but no increased warmth; mild restriction in range of motion due to the swelling is also noted. Numerous bruises are noted in various stages of resolution. Further history reveals easy bruising and bleeding from the gums over the past month. The most likely explanation for these findings is,"malabsorption of vitamins A, D, E, and K",,0.0
93,google-gemma,"In a jurisdiction using the grantor grantee indices, the following events have occurred in the order listed below:(1) In 1993, a borrower mortgaged a ranch to a mortgage company to secure a note for $25,000, due on December 31, 1993, with 9V2 percent interest per annum. (2) In 1996, the mortgage company recorded the mortgage on the ranch. (3) In 2007, in a signed writing, which the borrower delivered to his daughter, the borrower promised to convey the ranch to the daughter by a quitclaim deed and pay the mortgage debt when it came due. (4) In 2008, the borrower delivered to the daughter a quitclaim deed that made no reference to the mortgage. If the borrower thereafter defaulted on the mortgage and the mortgage company brought an in personam action against the daughter to recover the amount due on the mortgage debt, the mortgagee will probably","not succeed, because the daughter did not promise to pay the mortgage debt.",,0.0
94,google-gemma,We know that radiation and chemicals can cause cancer. Can viruses be a cause of cancer?,"Yes, viruses can be a cause of cancer",,0.9
95,google-gemma,What is a tracheostomy?,An opening in the anterior wall of the trachea below the cricoid cartilage.,,0.9
96,google-gemma,Another term for out-of-distribution detection is?,anomaly detection,,0.9
97,google-gemma,"A bank loaned a company $1,500,000 for the manufacture of a widget control system. As a condition of the loan, a majority shareholder in the company agreed in writing to personally guarantee the loan. Thereafter, the company defaulted on the loan and entered into a repayment agreement with the bank. This agreement provided that the bank would ""use maximum efforts in selling the company's assets at the highest possible price. "" The bank proceeded to sell the company's assets, discharging the indebtedness of the widget company. Later, it was ascertained that the bank did not realize the ""highest possible price"" in administering the sale of the company's assets. Consequently, the shareholder was forced into bankruptcy and lost her entire investment in the company. The shareholder brings an appropriate action against the bank to recover her investment in the company. She will most likely","'not prevail, because the bank was only required to use maximum efforts, not necessarily achieve the highest possible price.']",,0.9
98,google-gemma,Asking the “miracle question” is an initial intervention in which type of therapy?,solution-focused,,0.9
99,google-gemma,In very basic terms describe the structure of a retroviral virion.,"The virion is composed of the RNA genome, a surrounding protein capsid, and an outer lipid bilayer envelope.",,0.9
100,google-gemma,Characterize a person who scores high on internality on the Internal-External Control Scale.,"A person with high internality on the Internal-External Control Scale is likely to be achievement-oriented, independent, resistant to influence, successful, and prefers tasks relying on skills rather than chance.",,0.0
101,google-gemma,Public health ethics is:,Population-centered,,0.9
102,google-gemma,In men gonorrhea and chlamydia most often infect the:,urethra,,0.9
103,google-gemma,"A shopkeeper is the owner of a vacant lot in fee simple absolute (the record title is also in the shopkeeper). In 1960, the shopkeeper conveyed the property by general warranty deed as follows: ""The grantor hereby conveys the vacant lot to my friend, but if the property shall ever be used for church purposes, then to the children of my sister who reach the age of 25. "" At the time of the conveyance, the sister was single. Thereafter, the sister married and had two sons. Subsequently, one son died in an automobile accident. Three years after that son's death, the sister had a daughter. In an appropriate action to determine the ownership rights to the vacant lot with all minors represented, title is in ",the friend only.,,0.0
104,google-gemma,"Suppose Q is a measure of output, K is a measure of capital stock in use, and L is a measure of the size of the employed labor force. Q =AK^\betaL^\gamma is a much used form of production function. When \beta + \gamma = 1, it is known as a Cobb-Douglas production function. This function has many convenient properties: Marginal products of both labor and capital are positive if \beta and \gamma are. If \beta + \gamma = 1, the function has constant returns to scale. That is, if both inputs are increased in like proportion, output will increase in that same proportion. A doubling of both inputs, for example, will result in doubled output. Discuss how the concept of linear regression might be applied to estimate \beta and \gamma .",Multiple regression,,0.9
105,google-gemma,Hume's attack on natural law is founded on his argument that:,We cannot objectively know what is morally right or wrong.,,0.9
106,google-gemma,"Explain the development of an individual who is not psychologically well-adjusted, according to Rogers.","Rogers believes that personal evaluations by others, especially during childhood, result in a distancing or incongruence between the experiences of the self and the experiences of the organism, leading to psychological maladjustment.",,0.0
107,google-gemma,"When an appeal is made to the Supreme Court, the court usually",refuses to hear the appeal,,0.9
108,google-gemma,"Statement 1 | If a and b are elements of a group and a is not equal to b, then a^2 is not equal to b^2. Statement 2 | The set of rotations in a dihedral group form a cyclic subgroup.","False, True",,0.0
109,google-gemma,A patient has been on the operating table for four hours. How long may it take for any pressure damage to be visible?,72 hours.,,0.0
110,google-gemma,What is the oldest permanent European settlement in the United States?,Plymouth Massachusetts,,0.0
111,google-gemma,Electroconvulsive therapy (ECT) is most successfully used with,delusional depression,,0.0
112,google-gemma,Unilateral damage to the left (dominant) hemisphere is least likely to result in an inability to:,read a map.,,0.9
113,google-gemma,Excavation of Yang-shao sites in China indicates which domesticated crops?,"millet, cabbage, and rice.",,0.9
114,google-gemma,What are the two principal answers to whether life has any meaning for us?,the pessimist'sview and the optimist'sview,,0.9
115,google-gemma,Theglomerularfiltration rate is controlled primarily by alteration of theglomerularcapillary pressure. What are the two factors which produce these changes?,Arterial blood pressure and diameter of the afferent arterioles,,0.9
116,google-gemma,"If the speed of an airplane is measured by means of a stagnation tube, what correction must be applied to the constant-density indication when the plane is cruising at 300 mph?",- 5 mph,,0.9
117,google-gemma,"An employee wdrked as a delivery person for a drugstore. As part of the employee's duties and responsibilities, he would regularly deliver prescriptions and other items (such as toiletries, cosmetics, vitamins, and gift products) to customers. One afternoon while the employee was on duty, he remembered that it was his girlfriend's birthday. He went ahead and bought her a bottle of perfume from the pharmacy's cosmetics department. The employee paid the full price of $79. 95 for the perfume and had the perfume gift wrapped. He then drove to the girlfriend's house in the company van to personally deliver the birthday present. This trip took place during the employee's regular working hours while he was en route to make another delivery from his van. As he was traveling to the girlfriend's house, he was in such a hurry that he drove through a red light and collided with a vehicle owned and operated by a driver. The driver, who had entered the intersection on the green light, tried unsuccessfully to swerve and stop but was unable to avoid the employee's vehicle. The driver was injured in the accident, which caused extensive damage to both vehicles. If the driver brings suit against the drugstore to recover damages arising from the accident, the driver will probably","prevail, because the employee was under the control and direction of the drugstore at the time of the accident.",,0.8
118,google-gemma,Which is correct about the calcium atom?,It contains 20 protons and 20 electrons,,0.9
119,google-gemma,"A rancher, being owner in fee simpleconveyed the property by warranty deed to a woman. The woman gave her niece a mortgage on the ranch to secure a loan from the niece to the woman in the amount of $500,000. The mortgage was recorded immediately. Two years later, the woman conveyed the ranch to a farmer by quitclaim deed. The woman then defaulted on the mortgage, and the niece brought an in personam action against the farmer to recover the amount of the mortgage due. Assume that the woman's quitclaim deed to the farmer made no reference to the mortgage. The woman then defaulted on the mortgage, and the niece brought an in personam action against the farmer to recover the amount of the mortgage due. The mortgagee will probably","not succeed, because the woman was still legally responsible for the mortgage debt.",,0.9
120,google-gemma,"The state has the following statutes regarding liquor sales in effect:""Section 1212. Whoever sells intoxicating liquor to any person who is intoxicated or inebriated is guilty of a misdemeanor. This section shall not apply in the case of sales of intoxicating liquor by a hotel, motel, or inn to any person registered and resident as a guest in such hotel, motel, or inn for consumption upon the premises thereof. """"Section 1213. It shall be unlawful for any vendor with a valid state liquor license to sell intoxicating beverages on Sunday. Anyone in violation of this section shall be guilty of a misdemeanor and fined not less than $100 or more than $1,000. ""The state authorities have regularly enforced the aforementioned dram shop statute and ""blue law"" prohibiting Sunday liquor sales. At 12:30 a. m. on Sunday morning, a customer entered a liquor store and purchased a bottle of wine. The clerk who made the sale, thought the time was 11:30 p. m. Saturday night because that was the time shown on the store's wall clock. Unknown to the clerk, the clock was malfunctioning and was running an hour behind. Thus, the clock displayed the wrong time when the clerk sold the wine to the customer. When the clerk made the sale, the customer did not appear to be visibly inebriated. After making the purchase, the customer drank the entire bottle of wine. He then drove off in his car and struck a pedestrian, injuring him. At the time of the accident, the customer was intoxicated from drinking the wine. If the pedestrian asserts a claim against the liquor store, will the plaintiff prevail?","Yes, because the liquor store was negligent per se by selling the wine in violation of the ""blue law"" prohibiting Sunday liquor sales.",,0.9
121,google-gemma,The language {ww | w in (0 + 1)*} is,"accepted by some Turing machine, but by no pushdown automaton",,0.9
122,google-gemma,Discuss transfer of training in everyday life and in formal education.,"Positive transfer, negative transfer, and zero transfer",,0.9
123,google-gemma,Which component of a nation's balance of payments recognizes the purchase and sale of real and financial assets between nations?,The capital account,,0.9
124,google-gemma,Three of the following are classic security properties; which one is not?,Availability,,0.9
125,google-gemma, Where did people believe in the goddess known as Holy Mother of Mount Fairy Peach?,Silla,,0.2
126,google-gemma,The speed of sound in air depends on,air temperature.,,0.9
127,google-gemma,The possibility that Homo erectus possessed an aesthetic sense and may have created “art” is suggested by:,recovery of a shell at the Trinil site with an intentionally engraved series of lines.,,0.9
