Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,judge,question,reference,response,score,score_raw
12,12,12,12,12,12,Qwen/Qwen2.5-7B-Instruct,Evaluate −7(y − 6) for y = 8.,−14,"To evaluate −7(y − 6) for y = 8, substitute 8 for y: −7(8 − 6). This simplifies to −7(2). Multiplying, the result is −14.",1,answer>1</answer>
13,13,13,13,13,13,Qwen/Qwen2.5-7B-Instruct,"A gas sample is known to be a mixture of ethane and butane. A bulb having a $230.0 \mathrm{~cm}^3$ capacity is filled with the gas to a pressure of $97.5 \times 10^3 \mathrm{~Pa}$ at $23.1^{\circ} \mathrm{C}$. If the mass of the gas in the bulb is $0.3554 \mathrm{~g}$, what is the mole percent of butane in the mixture?
",32 %,"Given:  
Volume \( V = 230.0 \, \text{cm}^3 = 230.0 \times 10^{-6} \, \text{m}^3 \)  
Pressure \( P = 97.5 \times 10^3 \, \text{Pa} \)  
Temperature \( T = 23.1^\circ C = 296.25 \, K \)  
Mass \( m = 0.3554 \, g \)  

Let mole fraction of butane be \( x \), and ethane be \( 1-x \).  
Molar masses:  
Ethane \( M_{C_2H_6} = 30.07 \, g/mol \)  
Butane \( M_{C_4H_{10}} = 58.12 \, g/mol \)  

Using ideal gas law:  
\[ n = \frac{PV}{RT} = \frac{(97.5 \times 10^3)(230.0 \times 10^{-6})}{8.314 \times 296.25} = 0.00911 \, mol \]

Mass equation:  
\[ m = n[(1-x)M_{C_2H_6} + x M_{C_4H_{10}}] \]  
\[ 0.3554 = 0.00911[(1-x)30.07 + x",0,0
14,14,14,14,14,14,Qwen/Qwen2.5-7B-Instruct,"Find the Fourier sine series of f(x) = x^2 over the interval (0, 1).",x^2 \\sim_s 2 ^\\infty\\sum_n=1 {[{(- 1)^n+1} / (n\\pi)] - [{2[1 - (- 1)^n]} / (n^3\\pi^3)]} sinn\\pix,"The Fourier sine series of \( f(x) = x^2 \) on \((0,1)\) is given by

\[
f(x) \sim \sum_{n=1}^\infty b_n \sin(n \pi x),
\]

where

\[
b_n = 2 \int_0^1 x^2 \sin(n \pi x) \, dx.
\]

Integrating by parts twice, we get

\[
b_n = \frac{4(-1)^{n+1}}{n^3 \pi^3} - \frac{4}{n \pi}.
\]

Thus, the Fourier sine series is

\[
x^2 \sim \sum_{n=1}^\infty \left(\frac{4(-1)^{n+1}}{n^3 \pi^3} - \frac{4}{n \pi}\right) \sin(n \pi x).
\]",1,answer>1</answer>
15,15,15,15,15,15,Qwen/Qwen2.5-7B-Instruct,"A sample of beryllium powder was placed in a box having an effusion hole of 3.18 mm in diameter. After 15.2 min and a temperature of 1537°K , 8.88 mg of the powder had effused. Use the method of Knudsen to determine the vapor pressure of Be at 1537°K .",3.67 × 10^-5 atm,"To find the vapor pressure of Be using the Knudsen method, use the formula:  
\[ P = \frac{m}{A} \sqrt{\frac{2 \pi R T}{M}} \frac{1}{t} \]  
where \( m = 8.88 \times 10^{-6} \) kg, \( A = \pi (1.59 \times 10^{-3})^2 \) m², \( R = 8.314 \) J/mol·K, \( T = 1537 \) K, \( M = 9.012 \times 10^{-3} \) kg/mol, and \( t = 15.2 \times 60 \) s.  
Calculating gives \( P \approx 0.031 \) Pa. Thus, the vapor pressure of Be at 1537 K is approximately 0.031 Pa.",0,answer>0</answer>
16,16,16,16,16,16,Qwen/Qwen2.5-7B-Instruct,A solution made up of 150 grams of benzene and 25.1 grams of a solute has a freezing point of - 1.92°C. The freezing point of pure benzene is 5.50°C and themolal freezing point constant is 5.10. Determine the approximate molar weight of the solute.,115 g solute/mole solute,"First, calculate the freezing point depression: ΔTf = 5.50°C - (-1.92°C) = 7.42°C. Using the formula ΔTf = Kf * m, find molality: m = ΔTf / Kf = 7.42 / 5.10 ≈ 1.455 mol/kg. Molality (m) = moles of solute / kg of solvent, so moles = m * kg solvent = 1.455 * 0.150 = 0.218 mol. Finally, molar mass = mass of solute / moles = 25.1 g / 0.218 mol ≈ 115 g/mol.",1,answer>1</answer>
17,17,17,17,17,17,Qwen/Qwen2.5-7B-Instruct,"A compound microscope has an objective of 3 mm focal length. The objective forms an (intermediary) image 160 mm beyond the second focal plane of the objective. If the eyepiece alone gives 20x magnification (for the eye focused at infinity) , what is the total magnification provided by the microscope?",1066,"Given the objective focal length \( f_o = 3 \) mm and the intermediate image formed 160 mm beyond the second focal plane, the objective magnification \( M_o \) is approximately \(-\frac{v}{f_o} = -\frac{160}{3} \approx -53.3 \). The eyepiece magnification \( M_e = 20 \). The total magnification \( M = M_o \times M_e = -53.3 \times 20 = -1066 \). Thus, the microscope provides a total magnification of about 1066x (ignoring the sign which indicates image inversion).",1,answer>1</answer>
18,18,18,18,18,18,Qwen/Qwen2.5-7B-Instruct,"Let k >= 2. Let L be the set of strings in {0, 1}^* such that x \in L if and only if the number of 0's in x is divisible by k and the number of 1's in x is odd. The minimum number of states in a deterministic finite automaton (DFA) that recognizes L is",2k,"To recognize L, the DFA must track two conditions: the number of 0's modulo k and the parity of the number of 1's. The number of 0's modulo k requires k states, and the parity of 1's requires 2 states. Since these are independent conditions, the total number of states is the product, k * 2 = 2k. Thus, the minimum number of states in a DFA recognizing L is 2k.",1,answer>1</answer>
19,19,19,19,19,19,Qwen/Qwen2.5-7B-Instruct,"In the reaction, CaCO_3(s) \rightarrow CaCO(s) + CO_2 (g) at 950°C and CO_2 pressure of 1 atm, the ∆H is found to be 176 kJ/mole. Assuming that the volume of the solid phase changes little by comparison with the volume of gas generated, calculate the ∆E for this reaction.",166 kJ,"The reaction is CaCO₃(s) → CaO(s) + CO₂(g). Given ΔH = 176 kJ/mol and P = 1 atm, the volume change is mainly due to CO₂ gas. Using ΔE = ΔH - PΔV and ΔV ≈ V_gas = nRT/P for 1 mole of CO₂, at 950°C (1223 K), ΔV = (1)(0.08206)(1223)/1 = 100.3 L·atm. Converting to kJ: 1 L·atm = 0.1013 kJ, so PΔV = 100.3 × 0.1013 = 10.16 kJ. Therefore, ΔE = 176 - 10.16 = 165.8 kJ/mol.",1,1
20,20,20,20,20,20,Qwen/Qwen2.5-7B-Instruct,"A contractor has found through experience that the low bid for a job (excluding his own bid) is a random variable that is uniformly dis-tributed, over the interval ( 3c / 4 , 2c) where c is the contractor's cost estimate (no profit or loss) of the job. If profit is defined as zero if the contractor does not get the job (his bid is greater than the low bid) and as the difference between his bid and the cost estimate c if he gets the job, what should he bid, in terms of c, in order to maximize his expected profit?",k = (3c / 2),"Let the contractor's bid be \( b \). The low bid \( L \) (excluding his own) is uniformly distributed over \(\left(\frac{3c}{4}, 2c\right)\). The contractor wins if \( b < L \), so the probability of winning is \( P(L > b) = \frac{2c - b}{2c - \frac{3c}{4}} = \frac{2c - b}{\frac{5c}{4}} = \frac{4(2c - b)}{5c} \).

The expected profit is:
\[
E(\text{profit}) = (b - c) \times P(L > b) = (b - c) \times \frac{4(2c - b)}{5c}.
\]

Maximize \( E(\text{profit}) \) with respect to \( b \) over \( \left(\frac{3c}{4}, 2c\right) \):
\[
E(b) = \frac{4}{5c} (b - c)(2c - b) = \frac{4}{5c} \left(2cb - b^2 - 2c^2 + cb\right) = \frac{4}{5c} (-b^2 + 3cb - 2c^2).
\]

Taking derivative and setting to zero:
\[
E'(b)",0,answer>0</answer>
21,21,21,21,21,21,Qwen/Qwen2.5-7B-Instruct,The shaft of a centrifugal pump is supported by a 180° centralpartial journal bearing 3 in. in diameter and 6 in. long. The clearance between the shaft and the bearing is 0.003 in. For lubrication SAE 20 oil is used and the minimum oil thicknessis 0.002 in. The shaft rotates at 1000 rpm and the bearingis subjected to a pressure of 50 psi based on the projectedarea of the journal. Evaluate the average temperatureof the oil film and the power developed due to friction.,"160°F, 0.0943","Given: Diameter \(d = 3\) in, length \(L = 6\) in, clearance \(c = 0.003\) in, minimum oil thickness \(h = 0.002\) in, speed \(N = 1000\) rpm, pressure \(P = 50\) psi.

1. Calculate the bearing surface velocity: \(v = \pi d N / 12 = \pi \times 3 \times 1000 / 12 = 785.4\) ft/min.
2. The projected area \(A = d \times L = 3 \times 6 = 18\) in².
3. Load \(W = P \times A = 50 \times 18 = 900\) lb.
4. Power loss due to friction \(P_f = \frac{W \times v \times f}{33000}\), where \(f\) is the coefficient of friction. For hydrodynamic lubrication, \(f \approx \frac{c}{h} = \frac{0.003}{0.002} = 1.5\) (which is high, but used here for estimation).
5. \(P_f = \frac{900 \times 785.4 \times 1.5}{33000} = 32.1\) hp.
6. The average temperature rise \(\Delta T = \frac{P_f \times",0,0
22,22,22,22,22,22,Qwen/Qwen2.5-7B-Instruct,"Consider the ABO blood group locus in humans, which has six (6) alleles reported for it, of which three are most prominent, I^A, I^B andi. The I^A and I^B alleles are both dominant toiandcodominantto each other. A woman of blood group O marries a man who has blood group B. There are four children in the family: a son and daughter of blood group O; a daughter who has A blood type; and a son who has B blood type. One of the children is adopted. Which child is the adopted child?",the daughter who has blood group A,"The woman is blood group O, so her genotype is ii. The man is blood group B, so his genotype could be either I^B I^B or I^B i. Since two children have blood group O (ii), the man must carry the i allele (I^B i). The daughter with blood group A (I^A i or I^A I^A) cannot inherit the I^A allele from either parent, so she must be the adopted child.",0,answer>0</answer>
23,23,23,23,23,23,Qwen/Qwen2.5-7B-Instruct,"John's Lawn Mowing Service is a small business that acts as a price-taker (i.e., MR = P). The prevailing market price of lawn mowing is $20 per acre. John's costs are given by total cost = 0.1q^2 + 10q + 50, where q = the number of acres John chooses to cut a day. Calculate John's maximum daily profit.",200,"To maximize profit, set marginal cost (MC) equal to price (P). Total cost is TC = 0.1q² + 10q + 50, so MC = d(TC)/dq = 0.2q + 10. Set MC = 20: 0.2q + 10 = 20 → 0.2q = 10 → q = 50 acres. Total revenue (TR) = 20 * 50 = 1000. Total cost (TC) = 0.1(50)² + 10(50) + 50 = 0.1(2500) + 500 + 50 = 250 + 500 + 50 = 800. Maximum profit = TR - TC = 1000 - 800 = $200.",1,answer>1</answer>
24,24,24,24,24,24,Qwen/Qwen2.5-7B-Instruct,"A CAT scan produces equally spaced cross-sectional views of a human organ that provide information about the organ otherwise obtained only by surgery. Suppose that a CAT scan of a human liver shows cross-sections spaced $1.5 \mathrm{~cm}$ apart. The liver is $15 \mathrm{~cm}$ long and the cross-sectional areas, in square centimeters, are $0,18,58,79,94,106,117,128,63$, 39 , and 0 . Use the Midpoint Rule to estimate the volume of the liver.
",1050 $\\mathrm{cm}^3$,"To estimate the volume using the Midpoint Rule, multiply the spacing \( \Delta x = 1.5 \) cm by the sum of the areas at the midpoints. The areas given correspond to the cross-sections, so the midpoints are the areas excluding the first and last (0 and 0). Sum the middle 9 areas: \(18 + 58 + 79 + 94 + 106 + 117 + 128 + 63 + 39 = 702\). The volume estimate is \( V \approx 1.5 \times 702 = 1053 \) cubic centimeters.",1,answer>1</answer>
25,25,25,25,25,25,Qwen/Qwen2.5-7B-Instruct,"If 4 cards are drawn at random and without replacement from a deck of 52 playing cards, what is the chance of drawing the 4 aces as the first 4 cards?",.000037,"The chance of drawing the 4 aces as the first 4 cards is the number of favorable outcomes (drawing all 4 aces in the first 4 cards) divided by the total number of ways to draw any 4 cards from 52. The number of ways to draw 4 cards from 52 is \( \binom{52}{4} \). There is only 1 way to draw all 4 aces as the first 4 cards. Therefore, the probability is \( \frac{1}{\binom{52}{4}} = \frac{1}{270725} \).",0,answer>0</answer>
26,26,26,26,26,26,Qwen/Qwen2.5-7B-Instruct,"Find the solution for the equationX=AX+bu;X(0) = X_0 where A=\vert10\vert,b=\vert1\vert,X_0 =\vert- 1\vert, \vert- 22\vert\vert2\vert\vert0\vert u(t) = \delta(t) (impulse function).",0,"Given the system \( X = AX + bu \) with \( A = \begin{bmatrix} 1 & 0 \\ -2 & 2 \end{bmatrix} \), \( b = \begin{bmatrix} 1 \\ 0 \end{bmatrix} \), initial condition \( X(0) = \begin{bmatrix} -1 \\ -22 \end{bmatrix} \), and input \( u(t) = \delta(t) \), the solution is found by solving the state-space equation:

\[
\frac{dX}{dt} = AX + bu(t), \quad X(0) = X_0.
\]

The impulse input causes an instantaneous change \( X(0^+) = X(0^-) + b \), so

\[
X(0^+) = \begin{bmatrix} -1 \\ -22 \end{bmatrix} + \begin{bmatrix} 1 \\ 0 \end{bmatrix} = \begin{bmatrix} 0 \\ -22 \end{bmatrix}.
\]

For \( t > 0 \), the system evolves as

\[
X(t) = e^{At} X(0^+).
\]

Thus, the solution is \( X(t) = e^{At} \begin{bmatrix} 0 \\ -22 \end{bmatrix} \) for \( t > 0",0,0
27,27,27,27,27,27,Qwen/Qwen2.5-7B-Instruct,"A debt of $25,000 is to be amortized over 7 years at 7% interest. What value of monthly payments will achieve this?",4638.83,"To find the monthly payment, use the amortization formula:  
\[ P = \frac{r \times PV}{1 - (1 + r)^{-n}} \]  
where \( PV = 25,000 \), annual interest rate = 7%, so monthly rate \( r = \frac{0.07}{12} = 0.0058333 \), and total payments \( n = 7 \times 12 = 84 \).  
Calculating:  
\[ P = \frac{0.0058333 \times 25000}{1 - (1 + 0.0058333)^{-84}} \approx \frac{145.833}{1 - 0.628} = \frac{145.833}{0.372} \approx 392.15 \]  
The monthly payment is approximately $392.15.",0,answer>0</answer>
28,28,28,28,28,28,Qwen/Qwen2.5-7B-Instruct,"John is playing a game in which he tries to obtain the highest number possible. He must put the symbols +, $\times$, and - (plus, times, and minus) in the following blanks, using each symbol exactly once:\[2 \underline{\hphantom{8}} 4 \underline{\hphantom{8}} 6 \underline{\hphantom{8}} 8.\] John cannot use parentheses or rearrange the numbers. What is the highest possible number that John could obtain?",46,"To maximize the expression \(2 \_ 4 \_ 6 \_ 8\) using +, \(\times\), and - exactly once without parentheses or rearranging numbers, consider operator precedence: multiplication first, then addition and subtraction left to right. The best choice is \(2 + 4 \times 6 - 8\). Calculate: \(4 \times 6 = 24\), then \(2 + 24 = 26\), and finally \(26 - 8 = 18\). Thus, the highest possible value is 18.",0,answer>0</answer>
29,29,29,29,29,29,Qwen/Qwen2.5-7B-Instruct,"An internal hash table has 5 buckets, numbered 0, 1, 2, 3, 4. Keys are integers, and the hash function h(i) = i mod 5 is used, with linear resolution of collisions (i.e., if bucket h(i) is filled, the buckets h(i) + 1, h(i) + 2, ... are tried successively with all bucket numbers computed modulo 5). If elements with keys 13, 8, 24, 10, and 3 are inserted, m that order, into an initially blank hash table, then the content of the bucket numbered 2 is",3,"First, compute the hash for each key using h(i) = i mod 5:

- 13 mod 5 = 3 → bucket 3
- 8 mod 5 = 3 → bucket 3 is occupied, try 4 → bucket 4
- 24 mod 5 = 4 → bucket 4 is occupied, try 0 → bucket 0
- 10 mod 5 = 0 → bucket 0 is occupied, try 1 → bucket 1
- 3 mod 5 = 3 → buckets 3, 4, 0, 1 are occupied, try 2 → bucket 2

So, bucket 2 contains the key 3.",1,answer>1</answer>
30,30,30,30,30,30,Qwen/Qwen2.5-7B-Instruct,An electron on the axis of an electric dipole is $25 \mathrm{~nm}$ from the center of the dipole. What is the magnitude of the electrostatic force on the electron if the dipole moment is $3.6 \times 10^{-29} \mathrm{C} \cdot \mathrm{m}$ ? Assume that $25 \mathrm{~nm}$ is much larger than the separation of the charged particles that form the dipole.,$6.6$$10^{-15} \\mathrm{~N}$,"The magnitude of the electrostatic force on the electron is given by \( F = \frac{1}{4 \pi \epsilon_0} \frac{2 p e}{r^3} \), where \( p = 3.6 \times 10^{-29} \, \mathrm{C \cdot m} \), \( e = 1.6 \times 10^{-19} \, \mathrm{C} \), and \( r = 25 \times 10^{-9} \, \mathrm{m} \). Using \( \frac{1}{4 \pi \epsilon_0} = 9 \times 10^9 \, \mathrm{Nm^2/C^2} \), the force is \( F = 9 \times 10^9 \times \frac{2 \times 3.6 \times 10^{-29} \times 1.6 \times 10^{-19}}{(25 \times 10^{-9})^3} \). Calculating this gives \( F \approx 6.6 \times 10^{-14} \, \mathrm{N} \).",1,1
31,31,31,31,31,31,Qwen/Qwen2.5-7B-Instruct,"The specific rate constant, k, for a certain first-order reaction is 86 h^-1. What mass of a 0.0500 g sample of starting material will remain after 58 s?",0.0125 g,"First, convert 58 s to hours: 58 s × (1 h / 3600 s) = 0.0161 h. For a first-order reaction, \( m = m_0 e^{-kt} \). Here, \( m_0 = 0.0500 \) g, \( k = 86 \) h\(^{-1}\), and \( t = 0.0161 \) h. Calculate \( m = 0.0500 \times e^{-86 \times 0.0161} = 0.0500 \times e^{-1.3846} \approx 0.0500 \times 0.250 \approx 0.0125 \) g. Thus, about 0.0125 g remains.",1,answer>1</answer>
32,32,32,32,32,32,Qwen/Qwen2.5-7B-Instruct,"Consider a thoroughly mixed vessel where a salt is dis-solved inwater. The volume of the fresh water initially in the tank is 100lbm.The inlet conditions are,ṁ_w= 150 lb/hr. and ṁ_s= 30 lb/hr. The resulting solution leaves at a rate of 120 lb/hr. If the flow in and out remain constant, compute the outletconcentration after one hour.",0.26,"Initially, the tank has 100 lb of water with no salt. In one hour, 150 lb of water and 30 lb of salt enter, totaling 180 lb of solution added. The outlet flow is 120 lb/hr, so after one hour, the tank volume increases by (150 + 30 - 120) = 60 lb, making the total mass in the tank 160 lb (100 + 60). The salt mass after one hour is 30 lb (all from inlet), so the outlet concentration is 30 lb salt / 160 lb solution = 0.1875 (or 18.75% by mass).",0,answer>0</answer>
